,pid,age,hh_income,sex,employment,day,hh_zone,access_egress_distance,vehicles
8863,nts202300266901,>75,32118-44107,male,retired,friday,suburban,≤3.376,1
8864,nts202300266902,>75,32118-44107,male,retired,saturday,suburban,≤3.376,1
8865,nts202300266903,>75,32118-44107,male,retired,sunday,suburban,≤3.376,1
8866,nts202300266904,>75,32118-44107,male,retired,monday,suburban,≤3.376,1
8867,nts202300266905,>75,32118-44107,male,retired,tuesday,suburban,≤3.376,1
8868,nts202300266906,>75,32118-44107,male,retired,wednesday,suburban,≤3.376,1
8869,nts202300267001,>75,32118-44107,female,retired,friday,suburban,≤3.376,1
8870,nts202300267002,>75,32118-44107,female,retired,saturday,suburban,≤3.376,1
8871,nts202300267003,>75,32118-44107,female,retired,sunday,suburban,≤3.376,1
8872,nts202300267005,>75,32118-44107,female,retired,tuesday,suburban,≤3.376,1
8873,nts202300267102,48-54,>68887,male,ft-employed,monday,suburban,5.8-9.15862,2
8874,nts202300267103,48-54,>68887,male,ft-employed,tuesday,suburban,5.8-9.15862,2
8875,nts202300267104,48-54,>68887,male,ft-employed,wednesday,suburban,5.8-9.15862,2
8876,nts202300267105,48-54,>68887,male,ft-employed,thursday,suburban,5.8-9.15862,2
8877,nts202300267106,48-54,>68887,male,ft-employed,friday,suburban,5.8-9.15862,2
8878,nts202300267202,32-40,>68887,female,pt-employed,monday,suburban,5.8-9.15862,2
8879,nts202300267203,32-40,>68887,female,pt-employed,tuesday,suburban,5.8-9.15862,2
8880,nts202300267204,32-40,>68887,female,pt-employed,wednesday,suburban,5.8-9.15862,2
8881,nts202300267301,54-61,>68887,male,ft-employed,thursday,suburban,>15.8,2
8882,nts202300267302,54-61,>68887,male,ft-employed,friday,suburban,>15.8,2
8883,nts202300267305,54-61,>68887,male,ft-employed,monday,suburban,>15.8,2
8884,nts202300267306,54-61,>68887,male,ft-employed,tuesday,suburban,>15.8,2
8885,nts202300267401,61-68,>68887,female,ft-employed,thursday,suburban,3.376-5.8,2
8886,nts202300267402,61-68,>68887,female,ft-employed,friday,suburban,3.376-5.8,2
8887,nts202300267501,48-54,32118-44107,male,ft-employed,sunday,suburban,>15.8,2
8888,nts202300267502,48-54,32118-44107,male,ft-employed,monday,suburban,>15.8,2
8889,nts202300267503,48-54,32118-44107,male,ft-employed,tuesday,suburban,>15.8,2
8890,nts202300267504,48-54,32118-44107,male,ft-employed,wednesday,suburban,>15.8,2
8891,nts202300267505,48-54,32118-44107,male,ft-employed,thursday,suburban,>15.8,2
8892,nts202300267506,48-54,32118-44107,male,ft-employed,friday,suburban,>15.8,2
8893,nts202300267507,48-54,32118-44107,male,ft-employed,saturday,suburban,>15.8,2
8894,nts202300267601,54-61,32118-44107,female,pt-employed,sunday,suburban,9.15862-15.8,2
8895,nts202300267602,54-61,32118-44107,female,pt-employed,monday,suburban,9.15862-15.8,2
8896,nts202300267603,54-61,32118-44107,female,pt-employed,tuesday,suburban,9.15862-15.8,2
8897,nts202300267604,54-61,32118-44107,female,pt-employed,wednesday,suburban,9.15862-15.8,2
8898,nts202300267605,54-61,32118-44107,female,pt-employed,thursday,suburban,9.15862-15.8,2
8899,nts202300267606,54-61,32118-44107,female,pt-employed,friday,suburban,9.15862-15.8,2
8900,nts202300267607,54-61,32118-44107,female,pt-employed,saturday,suburban,9.15862-15.8,2
8901,nts202300267701,>75,32118-44107,male,retired,friday,suburban,5.8-9.15862,1
8902,nts202300267702,>75,32118-44107,male,retired,saturday,suburban,5.8-9.15862,1
8903,nts202300267703,>75,32118-44107,male,retired,sunday,suburban,5.8-9.15862,1
8904,nts202300267801,>75,32118-44107,female,retired,friday,suburban,9.15862-15.8,1
8905,nts202300267901,54-61,>68887,female,retired,sunday,suburban,5.8-9.15862,1
8906,nts202300267902,54-61,>68887,female,retired,monday,suburban,5.8-9.15862,1
8907,nts202300267903,54-61,>68887,female,retired,tuesday,suburban,5.8-9.15862,1
8908,nts202300267904,54-61,>68887,female,retired,wednesday,suburban,5.8-9.15862,1
8909,nts202300267905,54-61,>68887,female,retired,thursday,suburban,5.8-9.15862,1
8910,nts202300268001,54-61,22316-32118,female,ft-employed,thursday,urban,5.8-9.15862,2
8911,nts202300268002,54-61,22316-32118,female,ft-employed,friday,urban,5.8-9.15862,2
8912,nts202300268003,54-61,22316-32118,female,ft-employed,saturday,urban,5.8-9.15862,2
8913,nts202300268004,54-61,22316-32118,female,ft-employed,sunday,urban,5.8-9.15862,2
8914,nts202300268005,54-61,22316-32118,female,ft-employed,monday,urban,5.8-9.15862,2
8915,nts202300268006,54-61,22316-32118,female,ft-employed,tuesday,urban,5.8-9.15862,2
8916,nts202300268007,54-61,22316-32118,female,ft-employed,wednesday,urban,5.8-9.15862,2
8917,nts202300268101,61-68,22316-32118,male,ft-employed,thursday,urban,3.376-5.8,2
8918,nts202300268102,61-68,22316-32118,male,ft-employed,friday,urban,3.376-5.8,2
8919,nts202300268103,61-68,22316-32118,male,ft-employed,saturday,urban,3.376-5.8,2
8920,nts202300268104,61-68,22316-32118,male,ft-employed,sunday,urban,3.376-5.8,2
8921,nts202300268105,61-68,22316-32118,male,ft-employed,monday,urban,3.376-5.8,2
8922,nts202300268106,61-68,22316-32118,male,ft-employed,tuesday,urban,3.376-5.8,2
8923,nts202300268201,40-48,44107-68887,male,ft-employed,wednesday,urban,3.376-5.8,1
8924,nts202300268202,40-48,44107-68887,male,ft-employed,thursday,urban,3.376-5.8,1
8925,nts202300268203,40-48,44107-68887,male,ft-employed,friday,urban,3.376-5.8,1
8926,nts202300268204,40-48,44107-68887,male,ft-employed,saturday,urban,3.376-5.8,1
8927,nts202300268205,40-48,44107-68887,male,ft-employed,sunday,urban,3.376-5.8,1
8928,nts202300268301,40-48,44107-68887,female,ft-employed,wednesday,urban,9.15862-15.8,1
8929,nts202300268302,40-48,44107-68887,female,ft-employed,thursday,urban,9.15862-15.8,1
8930,nts202300268303,40-48,44107-68887,female,ft-employed,friday,urban,9.15862-15.8,1
8931,nts202300268401,10-21,44107-68887,male,unknown,wednesday,urban,>15.8,1
8932,nts202300268402,10-21,44107-68887,male,unknown,thursday,urban,>15.8,1
8933,nts202300268403,10-21,44107-68887,male,unknown,friday,urban,>15.8,1
8934,nts202300268404,10-21,44107-68887,male,unknown,saturday,urban,>15.8,1
8935,nts202300268501,≤10,44107-68887,female,unknown,wednesday,urban,9.15862-15.8,1
8936,nts202300268502,≤10,44107-68887,female,unknown,thursday,urban,9.15862-15.8,1
8937,nts202300268503,≤10,44107-68887,female,unknown,friday,urban,9.15862-15.8,1
8938,nts202300268601,68-75,22316-32118,male,retired,tuesday,urban,3.376-5.8,2
8939,nts202300268603,68-75,22316-32118,male,retired,thursday,urban,3.376-5.8,2
8940,nts202300268604,68-75,22316-32118,male,retired,friday,urban,3.376-5.8,2
8941,nts202300268605,68-75,22316-32118,male,retired,saturday,urban,3.376-5.8,2
8942,nts202300268606,68-75,22316-32118,male,retired,sunday,urban,3.376-5.8,2
8943,nts202300268607,68-75,22316-32118,male,retired,monday,urban,3.376-5.8,2
8944,nts202300268801,>75,22316-32118,female,retired,wednesday,urban,≤3.376,0
8945,nts202300268802,>75,22316-32118,female,retired,thursday,urban,≤3.376,0
8946,nts202300268804,>75,22316-32118,female,retired,saturday,urban,≤3.376,0
8947,nts202300268901,32-40,≤22316,female,other,monday,urban,≤3.376,0
8948,nts202300269001,≤10,≤22316,male,unknown,monday,urban,≤3.376,0
8949,nts202300269301,61-68,22316-32118,male,retired,saturday,urban,>15.8,2
8950,nts202300269401,61-68,22316-32118,female,retired,saturday,urban,>15.8,2
8951,nts202300269501,54-61,≤22316,female,retired,thursday,urban,9.15862-15.8,1
8952,nts202300269502,54-61,≤22316,female,retired,friday,urban,9.15862-15.8,1
8953,nts202300269503,54-61,≤22316,female,retired,saturday,urban,9.15862-15.8,1
8954,nts202300269504,54-61,≤22316,female,retired,sunday,urban,9.15862-15.8,1
8955,nts202300269601,54-61,≤22316,male,ft-employed,thursday,urban,9.15862-15.8,1
8956,nts202300269602,54-61,≤22316,male,ft-employed,friday,urban,9.15862-15.8,1
8957,nts202300269603,54-61,≤22316,male,ft-employed,saturday,urban,9.15862-15.8,1
8958,nts202300269604,54-61,≤22316,male,ft-employed,sunday,urban,9.15862-15.8,1
8959,nts202300269605,54-61,≤22316,male,ft-employed,monday,urban,9.15862-15.8,1
8960,nts202300269606,54-61,≤22316,male,ft-employed,tuesday,urban,9.15862-15.8,1
8961,nts202300269607,54-61,≤22316,male,ft-employed,wednesday,urban,9.15862-15.8,1
8962,nts202300269903,48-54,44107-68887,male,pt-employed,sunday,urban,5.8-9.15862,2
8963,nts202300269904,48-54,44107-68887,male,pt-employed,monday,urban,5.8-9.15862,2
8964,nts202300270001,54-61,44107-68887,female,ft-employed,friday,urban,5.8-9.15862,2
8965,nts202300270003,54-61,44107-68887,female,ft-employed,sunday,urban,5.8-9.15862,2
8966,nts202300270004,54-61,44107-68887,female,ft-employed,monday,urban,5.8-9.15862,2
8967,nts202300270005,54-61,44107-68887,female,ft-employed,tuesday,urban,5.8-9.15862,2
8968,nts202300270006,54-61,44107-68887,female,ft-employed,wednesday,urban,5.8-9.15862,2
8969,nts202300270101,10-21,44107-68887,male,pt-employed,friday,urban,≤3.376,2
8970,nts202300270102,10-21,44107-68887,male,pt-employed,saturday,urban,≤3.376,2
8971,nts202300270103,10-21,44107-68887,male,pt-employed,sunday,urban,≤3.376,2
8972,nts202300270104,10-21,44107-68887,male,pt-employed,monday,urban,≤3.376,2
8973,nts202300270302,54-61,32118-44107,male,ft-employed,monday,urban,9.15862-15.8,0
8974,nts202300270303,54-61,32118-44107,male,ft-employed,tuesday,urban,9.15862-15.8,0
8975,nts202300270304,54-61,32118-44107,male,ft-employed,wednesday,urban,9.15862-15.8,0
8976,nts202300270401,10-21,32118-44107,male,unknown,sunday,urban,≤3.376,0
8977,nts202300270501,10-21,32118-44107,male,unknown,sunday,urban,≤3.376,0
8978,nts202300270601,≤10,32118-44107,female,unknown,sunday,urban,≤3.376,0
8979,nts202300270701,>75,44107-68887,female,retired,monday,urban,9.15862-15.8,1
8980,nts202300270702,>75,44107-68887,female,retired,tuesday,urban,9.15862-15.8,1
8981,nts202300270703,>75,44107-68887,female,retired,wednesday,urban,9.15862-15.8,1
8982,nts202300270704,>75,44107-68887,female,retired,thursday,urban,9.15862-15.8,1
8983,nts202300270705,>75,44107-68887,female,retired,friday,urban,9.15862-15.8,1
8984,nts202300270706,>75,44107-68887,female,retired,saturday,urban,9.15862-15.8,1
8985,nts202300271201,54-61,≤22316,female,retired,saturday,urban,≤3.376,0
8986,nts202300271202,54-61,≤22316,female,retired,sunday,urban,≤3.376,0
8987,nts202300271301,54-61,>68887,female,retired,tuesday,urban,>15.8,1
8988,nts202300271302,54-61,>68887,female,retired,wednesday,urban,>15.8,1
8989,nts202300271401,48-54,>68887,male,ft-employed,tuesday,urban,>15.8,1
8990,nts202300271402,48-54,>68887,male,ft-employed,wednesday,urban,>15.8,1
8991,nts202300271403,48-54,>68887,male,ft-employed,thursday,urban,>15.8,1
8992,nts202300271404,48-54,>68887,male,ft-employed,friday,urban,>15.8,1
8993,nts202300271405,48-54,>68887,male,ft-employed,saturday,urban,>15.8,1
8994,nts202300271501,48-54,>68887,female,ft-employed,tuesday,rural,>15.8,1
8995,nts202300271502,48-54,>68887,female,ft-employed,wednesday,rural,>15.8,1
8996,nts202300271503,48-54,>68887,female,ft-employed,thursday,rural,>15.8,1
8997,nts202300271504,48-54,>68887,female,ft-employed,friday,rural,>15.8,1
8998,nts202300271507,48-54,>68887,female,ft-employed,monday,rural,>15.8,1
8999,nts202300271601,61-68,>68887,male,ft-employed,tuesday,rural,>15.8,1
9000,nts202300271602,61-68,>68887,male,ft-employed,wednesday,rural,>15.8,1
9001,nts202300271603,61-68,>68887,male,ft-employed,thursday,rural,>15.8,1
9002,nts202300271604,61-68,>68887,male,ft-employed,friday,rural,>15.8,1
9003,nts202300271607,61-68,>68887,male,ft-employed,monday,rural,>15.8,1
9004,nts202300271801,68-75,≤22316,male,retired,tuesday,urban,≤3.376,1
9005,nts202300271802,68-75,≤22316,male,retired,wednesday,urban,≤3.376,1
9006,nts202300271803,68-75,≤22316,male,retired,thursday,urban,≤3.376,1
9007,nts202300271804,68-75,≤22316,male,retired,friday,urban,≤3.376,1
9008,nts202300271805,68-75,≤22316,male,retired,saturday,urban,≤3.376,1
9009,nts202300271806,68-75,≤22316,male,retired,sunday,urban,≤3.376,1
9010,nts202300271807,68-75,≤22316,male,retired,monday,urban,≤3.376,1
9011,nts202300271901,>75,≤22316,female,retired,tuesday,urban,3.376-5.8,1
9012,nts202300272001,48-54,>68887,male,ft-employed,tuesday,rural,>15.8,2
9013,nts202300272002,48-54,>68887,male,ft-employed,wednesday,rural,>15.8,2
9014,nts202300272003,48-54,>68887,male,ft-employed,thursday,rural,>15.8,2
9015,nts202300272004,48-54,>68887,male,ft-employed,friday,rural,>15.8,2
9016,nts202300272101,54-61,>68887,female,ft-employed,tuesday,rural,>15.8,2
9017,nts202300272102,54-61,>68887,female,ft-employed,wednesday,rural,>15.8,2
9018,nts202300272103,54-61,>68887,female,ft-employed,thursday,rural,>15.8,2
9019,nts202300272104,54-61,>68887,female,ft-employed,friday,rural,>15.8,2
9020,nts202300272105,54-61,>68887,female,ft-employed,saturday,rural,>15.8,2
9021,nts202300272201,>75,22316-32118,female,retired,tuesday,rural,5.8-9.15862,1
9022,nts202300272202,>75,22316-32118,female,retired,wednesday,rural,5.8-9.15862,1
9023,nts202300272203,>75,22316-32118,female,retired,thursday,rural,5.8-9.15862,1
9024,nts202300272204,>75,22316-32118,female,retired,friday,rural,5.8-9.15862,1
9025,nts202300272205,>75,22316-32118,female,retired,saturday,rural,5.8-9.15862,1
9026,nts202300272301,32-40,>68887,male,ft-employed,wednesday,suburban,9.15862-15.8,2
9027,nts202300272302,32-40,>68887,male,ft-employed,thursday,suburban,9.15862-15.8,2
9028,nts202300272303,32-40,>68887,male,ft-employed,friday,suburban,9.15862-15.8,2
9029,nts202300272304,32-40,>68887,male,ft-employed,saturday,suburban,9.15862-15.8,2
9030,nts202300272305,32-40,>68887,male,ft-employed,sunday,suburban,9.15862-15.8,2
9031,nts202300272403,32-40,>68887,female,ft-employed,friday,suburban,>15.8,2
9032,nts202300272404,32-40,>68887,female,ft-employed,saturday,suburban,>15.8,2
9033,nts202300272405,32-40,>68887,female,ft-employed,sunday,suburban,>15.8,2
9034,nts202300272601,32-40,44107-68887,female,ft-employed,saturday,suburban,9.15862-15.8,1
9035,nts202300272602,32-40,44107-68887,female,ft-employed,sunday,suburban,9.15862-15.8,1
9036,nts202300272603,32-40,44107-68887,female,ft-employed,monday,suburban,9.15862-15.8,1
9037,nts202300272604,32-40,44107-68887,female,ft-employed,tuesday,suburban,9.15862-15.8,1
9038,nts202300272605,32-40,44107-68887,female,ft-employed,wednesday,suburban,9.15862-15.8,1
9039,nts202300272701,32-40,44107-68887,male,ft-employed,saturday,suburban,>15.8,1
9040,nts202300272702,32-40,44107-68887,male,ft-employed,sunday,suburban,>15.8,1
9041,nts202300272703,32-40,44107-68887,male,ft-employed,monday,suburban,>15.8,1
9042,nts202300272705,32-40,44107-68887,male,ft-employed,wednesday,suburban,>15.8,1
9043,nts202300272706,32-40,44107-68887,male,ft-employed,thursday,suburban,>15.8,1
9044,nts202300272801,32-40,32118-44107,female,ft-employed,tuesday,suburban,5.8-9.15862,1
9045,nts202300272802,32-40,32118-44107,female,ft-employed,wednesday,suburban,5.8-9.15862,1
9046,nts202300272803,32-40,32118-44107,female,ft-employed,thursday,suburban,5.8-9.15862,1
9047,nts202300272804,32-40,32118-44107,female,ft-employed,friday,suburban,5.8-9.15862,1
9048,nts202300272805,32-40,32118-44107,female,ft-employed,saturday,suburban,5.8-9.15862,1
9049,nts202300272901,40-48,32118-44107,male,ft-employed,tuesday,suburban,5.8-9.15862,1
9050,nts202300272902,40-48,32118-44107,male,ft-employed,wednesday,suburban,5.8-9.15862,1
9051,nts202300272903,40-48,32118-44107,male,ft-employed,thursday,suburban,5.8-9.15862,1
9052,nts202300272904,40-48,32118-44107,male,ft-employed,friday,suburban,5.8-9.15862,1
9053,nts202300272905,40-48,32118-44107,male,ft-employed,saturday,suburban,5.8-9.15862,1
9054,nts202300272906,40-48,32118-44107,male,ft-employed,sunday,suburban,5.8-9.15862,1
9055,nts202300273001,≤10,32118-44107,female,unknown,tuesday,suburban,5.8-9.15862,1
9056,nts202300273002,≤10,32118-44107,female,unknown,wednesday,suburban,5.8-9.15862,1
9057,nts202300273003,≤10,32118-44107,female,unknown,thursday,suburban,5.8-9.15862,1
9058,nts202300273004,≤10,32118-44107,female,unknown,friday,suburban,5.8-9.15862,1
9059,nts202300273104,>75,≤22316,male,retired,sunday,suburban,>15.8,1
9060,nts202300273105,>75,≤22316,male,retired,monday,suburban,>15.8,1
9061,nts202300273106,>75,≤22316,male,retired,tuesday,suburban,>15.8,1
9062,nts202300273204,68-75,≤22316,female,retired,sunday,suburban,>15.8,1
9063,nts202300273205,68-75,≤22316,female,retired,monday,suburban,>15.8,1
9064,nts202300273206,68-75,≤22316,female,retired,tuesday,suburban,>15.8,1
9065,nts202300273301,>75,44107-68887,female,ft-employed,wednesday,suburban,>15.8,0
9066,nts202300273302,>75,44107-68887,female,ft-employed,thursday,suburban,>15.8,0
9067,nts202300273303,>75,44107-68887,female,ft-employed,friday,suburban,>15.8,0
9068,nts202300273304,>75,44107-68887,female,ft-employed,saturday,suburban,>15.8,0
9069,nts202300273305,>75,44107-68887,female,ft-employed,sunday,suburban,>15.8,0
9070,nts202300273401,>75,44107-68887,male,retired,wednesday,suburban,>15.8,0
9071,nts202300273402,>75,44107-68887,male,retired,thursday,suburban,>15.8,0
9072,nts202300273501,54-61,44107-68887,male,ft-employed,wednesday,suburban,>15.8,0
9073,nts202300273601,>75,44107-68887,male,retired,tuesday,suburban,3.376-5.8,1
9074,nts202300273603,>75,44107-68887,male,retired,thursday,suburban,3.376-5.8,1
9075,nts202300273701,68-75,44107-68887,female,retired,tuesday,suburban,3.376-5.8,1
9076,nts202300273703,68-75,44107-68887,female,retired,thursday,suburban,3.376-5.8,1
9077,nts202300274201,68-75,22316-32118,male,retired,monday,suburban,≤3.376,1
9078,nts202300274202,68-75,22316-32118,male,retired,tuesday,suburban,≤3.376,1
9079,nts202300274203,68-75,22316-32118,male,retired,wednesday,suburban,≤3.376,1
9080,nts202300274204,68-75,22316-32118,male,retired,thursday,suburban,≤3.376,1
9081,nts202300274205,68-75,22316-32118,male,retired,friday,suburban,≤3.376,1
9082,nts202300274206,68-75,22316-32118,male,retired,saturday,suburban,≤3.376,1
9083,nts202300274301,61-68,22316-32118,female,retired,monday,suburban,≤3.376,1
9084,nts202300274302,61-68,22316-32118,female,retired,tuesday,suburban,≤3.376,1
9085,nts202300274303,61-68,22316-32118,female,retired,wednesday,suburban,≤3.376,1
9086,nts202300274304,61-68,22316-32118,female,retired,thursday,suburban,≤3.376,1
9087,nts202300274305,61-68,22316-32118,female,retired,friday,suburban,≤3.376,1
9088,nts202300274306,61-68,22316-32118,female,retired,saturday,suburban,≤3.376,1
9089,nts202300274601,>75,>68887,male,retired,thursday,rural,>15.8,1
9090,nts202300274602,>75,>68887,male,retired,friday,rural,>15.8,1
9091,nts202300274603,>75,>68887,male,retired,saturday,rural,>15.8,1
9092,nts202300274604,>75,>68887,male,retired,sunday,rural,>15.8,1
9093,nts202300274605,>75,>68887,male,retired,monday,rural,>15.8,1
9094,nts202300274606,>75,>68887,male,retired,tuesday,rural,>15.8,1
9095,nts202300274607,>75,>68887,male,retired,wednesday,rural,>15.8,1
9096,nts202300274701,40-48,44107-68887,male,ft-employed,wednesday,rural,9.15862-15.8,0
9097,nts202300274702,40-48,44107-68887,male,ft-employed,thursday,rural,9.15862-15.8,0
9098,nts202300274703,40-48,44107-68887,male,ft-employed,friday,rural,9.15862-15.8,0
9099,nts202300274704,40-48,44107-68887,male,ft-employed,saturday,rural,9.15862-15.8,0
9100,nts202300274705,40-48,44107-68887,male,ft-employed,sunday,rural,9.15862-15.8,0
9101,nts202300274706,40-48,44107-68887,male,ft-employed,monday,rural,9.15862-15.8,0
9102,nts202300274801,48-54,44107-68887,female,ft-employed,wednesday,rural,>15.8,0
9103,nts202300274802,48-54,44107-68887,female,ft-employed,thursday,rural,>15.8,0
9104,nts202300274803,48-54,44107-68887,female,ft-employed,friday,rural,>15.8,0
9105,nts202300274804,48-54,44107-68887,female,ft-employed,saturday,rural,>15.8,0
9106,nts202300274805,48-54,44107-68887,female,ft-employed,sunday,rural,>15.8,0
9107,nts202300274901,≤10,44107-68887,female,unknown,wednesday,rural,>15.8,0
9108,nts202300274902,≤10,44107-68887,female,unknown,thursday,rural,>15.8,0
9109,nts202300274903,≤10,44107-68887,female,unknown,friday,rural,>15.8,0
9110,nts202300274904,≤10,44107-68887,female,unknown,saturday,rural,>15.8,0
9111,nts202300274905,≤10,44107-68887,female,unknown,sunday,rural,>15.8,0
9112,nts202300274906,≤10,44107-68887,female,unknown,monday,rural,>15.8,0
9113,nts202300274907,≤10,44107-68887,female,unknown,tuesday,rural,>15.8,0
9114,nts202300276201,40-48,32118-44107,female,pt-employed,tuesday,rural,9.15862-15.8,2
9115,nts202300276203,40-48,32118-44107,female,pt-employed,thursday,rural,9.15862-15.8,2
9116,nts202300276204,40-48,32118-44107,female,pt-employed,friday,rural,9.15862-15.8,2
9117,nts202300276205,40-48,32118-44107,female,pt-employed,saturday,rural,9.15862-15.8,2
9118,nts202300276206,40-48,32118-44107,female,pt-employed,sunday,rural,9.15862-15.8,2
9119,nts202300276301,32-40,32118-44107,male,ft-employed,tuesday,rural,9.15862-15.8,2
9120,nts202300276302,32-40,32118-44107,male,ft-employed,wednesday,rural,9.15862-15.8,2
9121,nts202300276303,32-40,32118-44107,male,ft-employed,thursday,rural,9.15862-15.8,2
9122,nts202300276304,32-40,32118-44107,male,ft-employed,friday,rural,9.15862-15.8,2
9123,nts202300276305,32-40,32118-44107,male,ft-employed,saturday,rural,9.15862-15.8,2
9124,nts202300276306,32-40,32118-44107,male,ft-employed,sunday,rural,9.15862-15.8,2
9125,nts202300276401,10-21,32118-44107,male,pt-employed,tuesday,rural,9.15862-15.8,2
9126,nts202300276402,10-21,32118-44107,male,pt-employed,wednesday,rural,9.15862-15.8,2
9127,nts202300276403,10-21,32118-44107,male,pt-employed,thursday,rural,9.15862-15.8,2
9128,nts202300276404,10-21,32118-44107,male,pt-employed,friday,rural,9.15862-15.8,2
9129,nts202300276406,10-21,32118-44107,male,pt-employed,sunday,rural,9.15862-15.8,2
9130,nts202300276501,10-21,32118-44107,male,unknown,tuesday,rural,3.376-5.8,2
9131,nts202300276502,10-21,32118-44107,male,unknown,wednesday,rural,3.376-5.8,2
9132,nts202300276503,10-21,32118-44107,male,unknown,thursday,rural,3.376-5.8,2
9133,nts202300276504,10-21,32118-44107,male,unknown,friday,rural,3.376-5.8,2
9134,nts202300276601,54-61,44107-68887,female,pt-employed,tuesday,urban,5.8-9.15862,0
9135,nts202300276602,54-61,44107-68887,female,pt-employed,wednesday,urban,5.8-9.15862,0
9136,nts202300276604,54-61,44107-68887,female,pt-employed,friday,urban,5.8-9.15862,0
9137,nts202300276605,54-61,44107-68887,female,pt-employed,saturday,urban,5.8-9.15862,0
9138,nts202300276606,54-61,44107-68887,female,pt-employed,sunday,urban,5.8-9.15862,0
9139,nts202300276607,54-61,44107-68887,female,pt-employed,monday,urban,5.8-9.15862,0
9140,nts202300276701,54-61,44107-68887,male,pt-employed,tuesday,urban,3.376-5.8,0
9141,nts202300276702,54-61,44107-68887,male,pt-employed,wednesday,urban,3.376-5.8,0
9142,nts202300276703,54-61,44107-68887,male,pt-employed,thursday,urban,3.376-5.8,0
9143,nts202300276704,54-61,44107-68887,male,pt-employed,friday,urban,3.376-5.8,0
9144,nts202300276705,54-61,44107-68887,male,pt-employed,saturday,urban,3.376-5.8,0
9145,nts202300276706,54-61,44107-68887,male,pt-employed,sunday,urban,3.376-5.8,0
9146,nts202300276801,10-21,44107-68887,female,unknown,tuesday,urban,5.8-9.15862,0
9147,nts202300276802,10-21,44107-68887,female,unknown,wednesday,urban,5.8-9.15862,0
9148,nts202300276803,10-21,44107-68887,female,unknown,thursday,urban,5.8-9.15862,0
9149,nts202300276804,10-21,44107-68887,female,unknown,friday,urban,5.8-9.15862,0
9150,nts202300276805,10-21,44107-68887,female,unknown,saturday,urban,5.8-9.15862,0
9151,nts202300276806,10-21,44107-68887,female,unknown,sunday,urban,5.8-9.15862,0
9152,nts202300276807,10-21,44107-68887,female,unknown,monday,urban,5.8-9.15862,0
9153,nts202300276901,10-21,44107-68887,male,unknown,tuesday,urban,3.376-5.8,0
9154,nts202300276903,10-21,44107-68887,male,unknown,thursday,urban,3.376-5.8,0
9155,nts202300276904,10-21,44107-68887,male,unknown,friday,urban,3.376-5.8,0
9156,nts202300276905,10-21,44107-68887,male,unknown,saturday,urban,3.376-5.8,0
9157,nts202300276906,10-21,44107-68887,male,unknown,sunday,urban,3.376-5.8,0
9158,nts202300276907,10-21,44107-68887,male,unknown,monday,urban,3.376-5.8,0
9159,nts202300277401,32-40,>68887,female,ft-employed,monday,urban,3.376-5.8,2
9160,nts202300277402,32-40,>68887,female,ft-employed,tuesday,urban,3.376-5.8,2
9161,nts202300277403,32-40,>68887,female,ft-employed,wednesday,urban,3.376-5.8,2
9162,nts202300277404,32-40,>68887,female,ft-employed,thursday,urban,3.376-5.8,2
9163,nts202300277405,32-40,>68887,female,ft-employed,friday,urban,3.376-5.8,2
9164,nts202300277406,32-40,>68887,female,ft-employed,saturday,urban,3.376-5.8,2
9165,nts202300277501,21-32,>68887,male,ft-employed,monday,urban,3.376-5.8,2
9166,nts202300277502,21-32,>68887,male,ft-employed,tuesday,urban,3.376-5.8,2
9167,nts202300277503,21-32,>68887,male,ft-employed,wednesday,urban,3.376-5.8,2
9168,nts202300277504,21-32,>68887,male,ft-employed,thursday,urban,3.376-5.8,2
9169,nts202300277505,21-32,>68887,male,ft-employed,friday,urban,3.376-5.8,2
9170,nts202300277506,21-32,>68887,male,ft-employed,saturday,urban,3.376-5.8,2
9171,nts202300277507,21-32,>68887,male,ft-employed,sunday,urban,3.376-5.8,2
9172,nts202300277601,10-21,>68887,male,unknown,monday,urban,3.376-5.8,2
9173,nts202300277602,10-21,>68887,male,unknown,tuesday,urban,3.376-5.8,2
9174,nts202300277603,10-21,>68887,male,unknown,wednesday,urban,3.376-5.8,2
9175,nts202300277604,10-21,>68887,male,unknown,thursday,urban,3.376-5.8,2
9176,nts202300277605,10-21,>68887,male,unknown,friday,urban,3.376-5.8,2
9177,nts202300277606,10-21,>68887,male,unknown,saturday,urban,3.376-5.8,2
9178,nts202300277607,10-21,>68887,male,unknown,sunday,urban,3.376-5.8,2
9179,nts202300277701,≤10,>68887,female,unknown,monday,urban,≤3.376,2
9180,nts202300277703,≤10,>68887,female,unknown,wednesday,urban,≤3.376,2
9181,nts202300277704,≤10,>68887,female,unknown,thursday,urban,≤3.376,2
9182,nts202300277705,≤10,>68887,female,unknown,friday,urban,≤3.376,2
9183,nts202300277706,≤10,>68887,female,unknown,saturday,urban,≤3.376,2
9184,nts202300277707,≤10,>68887,female,unknown,sunday,urban,≤3.376,2
9185,nts202300278001,48-54,≤22316,female,pt-employed,tuesday,urban,>15.8,1
9186,nts202300278003,48-54,≤22316,female,pt-employed,thursday,urban,>15.8,1
9187,nts202300278004,48-54,≤22316,female,pt-employed,friday,urban,>15.8,1
9188,nts202300278005,48-54,≤22316,female,pt-employed,saturday,urban,>15.8,1
